name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
FIFA Street,PS2,2005,Sports,Electronic Arts,0.15,0.12,0,0.04,0.31,59,29,7.9,52
Monster Lab,Wii,2008,Role-Playing,Eidos Interactive,0.27,0.02,0,0.02,0.31,73,11,8.4,14
Fate/Extra,PSP,2010,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31,58,10,8.1,39
Drakengard 3,PS3,2013,Role-Playing,Square Enix,0.1,0,0.19,0.02,0.31,61,33,7.7,237
Catherine,X360,2011,Adventure,Deep Silver,0.2,0.06,0.03,0.02,0.31,82,39,7.9,153
J Stars Victory Vs.,PS3,2014,Fighting,Namco Bandai Games,0.05,0.05,0.2,0.02,0.31,74.2642448260087,NA,7.9,11
The Matrix: Path of Neo,XB,2005,Action,Atari,0.23,0.07,0,0.01,0.31,73,39,7.3,20
Namco Museum: Virtual Arcade,X360,2008,Misc,Atari,0.27,0.01,0.01,0.02,0.31,63,16,5.886534456794125,NA
Bust-A-Move Universe,3DS,2011,Puzzle,Square Enix,0.08,0.15,0.06,0.03,0.31,49,30,4.8,13
Mortal Kombat: Shaolin Monks,XB,2005,Action,Midway Games,0.23,0.07,0,0.01,0.31,78,37,6.6,19
Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.19,0.09,0,0.03,0.31,68,5,7.4,127
Shin Megami Tensei: Devil Survivor 2,DS,2011,Role-Playing,Ghostlight,0.16,0.01,0.12,0.01,0.31,79,21,8.8,45
Sonic Boom: Rise of Lyric,WiiU,2014,Action,Sega,0.19,0.09,0,0.03,0.31,32,28,3.6,587
The Settlers 7: Paths to a Kingdom,PC,2010,Strategy,Ubisoft,0,0.27,0,0.05,0.31,79,33,5.2,213
WipEout Pulse,PSP,2007,Racing,Sony Computer Entertainment,0.13,0.12,0,0.06,0.31,82,40,8.6,31
The Legend of Spyro: Dawn of the Dragon,X360,2008,Platform,Vivendi Games,0.16,0.12,0,0.03,0.31,62,35,7.2,26
Fuel,X360,2009,Racing,Codemasters,0.09,0.18,0,0.04,0.31,66,45,7,45
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31,76,17,7.1,110
KISS Pinball,PS,2001,Action,Take-Two Interactive,0.17,0.12,0,0.02,0.31,26,7,3.8,8
Brothers In Arms: Earned in Blood,XB,2005,Shooter,Ubisoft,0.23,0.07,0,0.01,0.31,85,41,8.6,25
LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0,0.03,0.31,65,5,3.6,7
Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0,0.05,0.31,81,51,3.3,29
