rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
19794,Saiaku Naru Saiyaku Ningen ni Sasagu,saiaku-naru-saiyaku-ningen-ni-sasagu,Visual Novel,unrated,playstation,Kemco,Kemco,0.01,2018
19796,Moeru Mahjong: Moejong!,moeru-mahjong-moejong,Misc,unrated,playstation,Hudson Entertainment,Hudson Soft,0.01,2008
19799,Tokeijikake no Ley Line: Kagerou ni Samayou Majo,tokeijikake-no-ley-line-kagerou-ni-samayou-majo,Adventure,unrated,playstation,Dramatic Create,Dramatic Create,0.01,2017
19802,Monochrome Fighter: Cross Road,monochrome-fighter-cross-road,Adventure,unrated,playstation,5pb,Genterprise,0.01,2008
19804,Simple 2000 Series Wii Vol. 2: The Party Game,simple-2000-series-wii-vol-2-the-party-game,Misc,unrated,nintendo,D3 Publisher,Tamsoft,0.01,2008
19807,Enkeltbillet,enkeltbillet,Adventure,unrated,playstation,Idea Factory,Otomate,0.01,2014
19808,Zettai Karen Children DS: Dai-4 no Children,zettai-karen-children-ds-dai-4-no-children,Role-Playing,unrated,other,Konami,Konami,0.01,2008
19809,Amatsutsumi,amatsutsumi,Visual Novel,unrated,playstation,Prototype,Prototype,0.01,2018
19810,Honki de Manabu: LEC de Goukaku - DS Takuchi Tatemono Torihiki Shuninsha,honki-de-manabu-lec-de-goukaku-ds-takuchi-tatemono-torihiki-shuninsha,Misc,unrated,other,Square Enix,Square Enix,0.01,2009
19814,Mega Man X Legacy Collection 2,mega-man-x-legacy-collection-2,Platform,unrated,playstation,Capcom,Capcom,0.01,2018
19815,Yattaman DS 2: BikkuriDokkiri Animal Daibouken,yattaman-ds-2-bikkuridokkiri-animal-daibouken,Action,unrated,other,Takara Tomy,Takara Tomy,0.01,2008
19817,bit Generations: Dialhex,bit-generations-dialhex,Puzzle,unrated,nintendo,Nintendo,skip Ltd.,0.01,2006
19818,Dynamic Chord feat. Apple-Polisher: V Edition,dynamic-chord-feat-apple-polisher-v-edition,Adventure,unrated,playstation,honeybee,honeybee,0.01,2018
19820,Harukanaru Toki no Naka de 4,harukanaru-toki-no-naka-de-4,Adventure,unrated,nintendo,KOEI,Koei,0.01,2008
19825,Happy Manager: Shiawase Zhuang no Kanrinin San,happy-manager-shiawase-zhuang-no-kanrinin-san,Simulation,unrated,playstation,D3 Publisher,D3 Publisher,0.01,2018
19827,Skip Beat!,skip-beat,Adventure,unrated,playstation,5pb,5pb. Inc.,0.01,2009
19832,Juusei to Diamond,juusei-to-diamond,Action,unrated,playstation,Sony Computer Entertainment,SCEI,0.01,2009
