rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,publisher_ranked
432,Assassin's Creed: Unity,assassins-creed-unity,Action,M,xbox,ubisoft,Ubisoft Montreal,3.58,2014,TRUE
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,E,other,majesco,Office Create,3.58,2007,FALSE
435,WWF SmackDown!,wwf-smackdown,Fighting,T,playstation,thq,Yuke's,3.58,2000,FALSE
436,Croc: Legend of the Gobbos,croc-legend-of-the-gobbos,Platform,E,playstation,fox interactive,Argonaut Games,3.56,1997,FALSE
437,Battlefield 4,battlefield-4,Shooter,M,xbox,electronic arts,EA DICE,3.54,2013,TRUE
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,playstation,rockstar games,Rockstar Leeds,3.54,2006,FALSE
439,The Getaway,the-getaway,Action,M,playstation,sony computer entertainment,Team Soho,3.54,2003,FALSE
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,T,playstation,eidos interactive,Core Design Ltd.,3.54,1998,FALSE
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,xbox,eidos interactive,Rocksteady Studios,3.54,2009,FALSE
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,M,xbox,ubisoft,Ubisoft Montreal,3.53,2010,TRUE
