rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
139,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.21,2011,other,1.07
140,Need for Speed Underground,need-for-speed-underground,Racing,E,other,Electronic Arts,EA Black Box,7.2,2003,north america,3.27
140,Need for Speed Underground,need-for-speed-underground,Racing,E,other,Electronic Arts,EA Black Box,7.2,2003,europe,2.83
140,Need for Speed Underground,need-for-speed-underground,Racing,E,other,Electronic Arts,EA Black Box,7.2,2003,japan,0.08
140,Need for Speed Underground,need-for-speed-underground,Racing,E,other,Electronic Arts,EA Black Box,7.2,2003,other,1.02
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.13,1998,north america,3.68
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.13,1998,europe,1.75
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.13,1998,japan,1.42
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.13,1998,other,0.28
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,other,Electronic Arts,EA Black Box,6.9,2004,north america,2.71
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,other,Electronic Arts,EA Black Box,6.9,2004,europe,3.02
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,other,Electronic Arts,EA Black Box,6.9,2004,japan,0.08
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,other,Electronic Arts,EA Black Box,6.9,2004,other,1.09
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.84,2011,north america,2.77
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.84,2011,europe,2.81
